rom_name,display_name,year,manufacturer,players,rotation,status,is_clone,parent,category
mushi2k61,Mushiking The King Of Beetles 2006 First (Japan),2006,Sega,0,0,unknown,false,,
mushi2k62,Mushiking The King Of Beetles 2006 Second (Japan),2006,Sega,0,0,unknown,false,,
mushik2e,Mushiking The King Of Beetles - Mushiking II / III / III+ (Ver. 2.001) (World),2005,Sega,0,0,unknown,false,,
mushik2k,Mushiking The King Of Beetles - Mushiking II / III / III+ (Ver. 1.000-) (Korea),2005,Sega,0,0,unknown,true,mushik2e,
mushik4e,Mushiking The King Of Beetles - Mushiking IV / V / VI (World),2007,Sega,0,0,unknown,false,,
mushik4t,Mushiking The King Of Beetles - Mushiking IV / V / VI (Taiwan),2007,Sega,0,0,unknown,true,mushik4e,
mushike,"Mushiking The King Of Beetle (2K3 2ND Ver. 1.003-, World)",2004,Sega,0,0,unknown,false,,
mushikeo,"Mushiking The King Of Beetle (2K3 2ND Ver. 1.002-, World)",2004,Sega,0,0,unknown,true,mushike,
mushikk,"Mushiking The King Of Beetle (2K3 2ND Ver. 1.000-, Korea)",2004,Sega,0,0,unknown,true,mushike,
mvsc2,"Marvel Vs. Capcom 2: New Age of Heroes (Export, Korea, Rev A)",2000,Capcom / Marvel,0,0,unknown,false,,
mvsc2u,"Marvel Vs. Capcom 2: New Age of Heroes (USA, Rev A)",2000,Capcom / Marvel,0,0,unknown,true,mvsc2,
ngbc,NeoGeo Battle Coliseum,2005,Sammy / SNK Playmore,0,0,unknown,false,,
ngbcj,NeoGeo Battle Coliseum (Japan),2005,Sammy / SNK Playmore,0,0,unknown,true,ngbc,
ninjaslt,"Ninja Assault (World, NJA2 Ver.A)",2000,Namco,0,0,unknown,false,,
ninjaslta,"Ninja Assault (Asia, NJA4 Ver.A)",2000,Namco,0,0,unknown,true,ninjaslt,
ninjasltj,"Ninja Assault (Japan, NJA1 Ver.A)",2000,Namco,0,0,unknown,true,ninjaslt,
ninjasltu,"Ninja Assault (US, NJA3 Ver.A)",2000,Namco,0,0,unknown,true,ninjaslt,
ntvmys,"Nittere Shiki! Mirai Yosou Studio / NTV Future Forecast Studio (Japan, Rev A)",2000,Sega / NTV,0,0,unknown,false,,
ochaken,Ocha-Ken Hot Medal,2007,Sega,0,0,unknown,false,,
otrigger,OutTrigger,1999,Sega,0,0,unknown,false,,
pjustic,Project Justice / Moero! Justice Gakuen (Rev B),2000,Capcom,0,0,unknown,false,,
pjustica,Project Justice / Moero! Justice Gakuen (Rev A),2000,Capcom,0,0,unknown,true,pjustic,
pokasuka,Pokasuka Ghost! (Japan),2007,Sega,0,0,unknown,true,manicpnc,
pstone,Power Stone,1999,Capcom,0,0,unknown,false,,
pstone2,Power Stone 2,2000,Capcom,0,0,unknown,false,,
pstone2b,Power Stone 2 (bootleg),2000,Capcom,0,0,unknown,true,pstone2,
psyvar2,Psyvariar 2 - The Will To Fabricate (Japan) (GDL-0024),2003,Success,0,270,unknown,false,,
puyoda,Puyo Puyo Da! (Japan),1999,Compile,0,0,unknown,false,,
puyofev,Puyo Pop Fever (World) (GDS-0034),2003,Sega,0,0,unknown,false,,
puyofevj,Puyo Puyo Fever (Japan) (GDS-0031),2003,Sega,0,0,unknown,true,puyofev,
puyomedal,Puyo Puyo! The Medal Edition,2009,Sega,0,0,unknown,false,,
qmegamis,Quiz Aa! Megami-sama ~Tatakau Tsubasa to Tomoni~ (Japan),2000,Sega,0,0,unknown,false,,
quizqgd,Quiz Keitai Q mode (GDL-0017),2002,Amedio (Taito license),0,270,unknown,false,,
radirgy,"Radirgy (Japan, Rev A) (GDL-0032A)",2005,Milestone,0,270,unknown,false,,
radirgyn,Radirgy Noa (Japan),2009,Milestone / Lucky,0,0,unknown,false,,
radirgyo,Radirgy (Japan) (GDL-0032),2005,Milestone,0,270,unknown,true,radirgy,
rangrmsn,Ranger Mission,2004,RIZ Inc./ Sammy,0,0,unknown,false,,
rhytngk,Rhythm Tengoku (Japan),2007,Sega / Nintendo - J.P ROOM,0,0,unknown,false,,
ringout,Ring Out 4x4 (Rev A),1999,Sega,0,0,unknown,false,,
ringouto,Ring Out 4x4,1999,Sega,0,0,unknown,true,ringout,
rumblef,The Rumble Fish,2004,Sammy / Dimps,0,0,unknown,false,,
rumblef2,The Rumble Fish 2,2005,Sammy / Dimps,0,0,unknown,false,,
rumblefp,The Rumble Fish (prototype),2004,Sammy / Dimps,0,0,unknown,true,rumblef,
rumblf2p,The Rumble Fish 2 (prototype),2005,Sammy / Dimps,0,0,unknown,true,rumblef2,
salmankt,Net@Select: Salaryman Kintaro,2004,Yuki Enterprise / Sammy,0,0,unknown,false,,
samba,Samba De Amigo (Rev B),1999,Sega,0,0,unknown,false,,
samba2k,Samba de Amigo ver. 2000 (Japan),2000,Sega,0,0,unknown,false,,
sambaa,Samba De Amigo (Rev A),1999,Sega,0,0,unknown,true,samba,
sambap,"Samba De Amigo (USA, prototype)",1999,Sega,0,0,unknown,true,samba,
samsptk,Samurai Spirits Tenkaichi Kenkakuden,2005,Sammy / SNK Playmore,0,0,unknown,false,,
senko,"Senko no Ronde (Japan, Rev A) (GDL-0030A)",2005,G.Rev,0,0,unknown,false,,
senkoo,Senko no Ronde (Japan) (GDL-0030),2005,G.Rev,0,0,unknown,true,senko,
senkosp,"Senko no Ronde Special (Export, Japan) (GDL-0038)",2006,G.Rev,0,0,unknown,false,,
sfz3ugd,Street Fighter Zero 3 Upper (Japan) (GDL-0002),2001,Capcom,0,0,unknown,false,,
sgdrvsim,Driving Simulator,2007,Sega,0,0,unknown,false,,
sgtetris,Sega Tetris,1999,Sega,0,0,unknown,false,,
shaktam,Shakatto Tambourine (Rev B) (GDS-0002B),2000,Sega,0,0,unknown,false,,
shaktamb,Shakatto Tambourine Cho Powerup Chu (2K1 AUT) (GDS-0016),2001,Sega,0,0,unknown,false,,
shaktmsp,Shakatto Tambourine Motto Norinori Shinkyoku Tsuika (2K1 SPR) (GDS-0013),2001,Sega,0,0,unknown,false,,
shikgam2,Shikigami no Shiro II / The Castle of Shikigami II (GDL-0021),2003,Alfa System,0,270,unknown,false,,
shootopl,Shootout Pool,2002,Sega,0,0,unknown,false,,
shootpl,"Shootout Pool Prize (Export) / Shootout Pool The Medal (Japan, Rev A)",2003,Sega,0,0,unknown,false,,
shootplm,Shootout Pool Prize (Export) / Shootout Pool The Medal (Japan) Version B,2004,Sega,0,0,unknown,false,,
shootplmp,Shootout Pool Prize (Export) / Shootout Pool The Medal (Japan) Version B (prototype),2004,Sega,0,0,unknown,true,shootplm,
shors2k2,"Star Horse 2002 (sound, Export/Taiwan)",2002,Sega,0,0,unknown,false,,
shorsepr,Star Horse Progress Returns (satellite),2009,Sega,0,270,unknown,false,,
sl2007,Shooting Love 2007 (Japan),2007,Triangle Service,0,270,unknown,false,,
slasho,Slashout,2000,Sega,0,0,unknown,false,,
slashout,Slashout (GDS-0004),2000,Sega,0,0,unknown,false,,
smlg99,World Series 99 / Super Major League 99,1999,Sega,0,0,unknown,false,,
soulsurf,Soul Surfer (Rev A),2002,Sega,0,0,unknown,false,,
spawn,Spawn: In the Demon's Hand (Rev B),1999,Todd McFarlane / Capcom,0,0,unknown,false,,
spkrbtl,Spikers Battle (GDS-0005),2001,Sega,0,0,unknown,false,,
sprtjam,Sports Jam (GDS-0003),2000,Sega,0,0,unknown,false,,
sprtshot,Sports Shooting USA,2003,Sammy USA,0,0,unknown,false,,
ss2005,"Super Shanghai 2005 (Japan, Rev A) (GDL-0031A)",2005,Starfish,0,0,unknown,false,,
ss2005o,Super Shanghai 2005 (Japan) (GDL-0031),2005,Starfish,0,0,unknown,true,ss2005,
sstrkfgt,Sega Strike Fighter (Rev A),2000,Sega,0,0,unknown,false,,
sstrkfgta,"Sega Strike Fighter (Rev A, no training mode)",2000,Sega,0,0,unknown,true,sstrkfgt,
starseek,Doki Doki Idol Star Seeker (GDL-0005),2001,G.Rev,0,0,unknown,false,,
suchie3,Idol Janshi Suchie-Pai 3 (Japan),1999,Jaleco,0,0,unknown,false,,
sushibar,Sushi Bar / Toretore! Sushi,2003,Sammy,0,0,unknown,false,,
takoron,Noukone Puzzle Takoron (Japan) (GDL-0042),2006,Compile Heart,0,0,unknown,false,,
tduno,Touch de Uno! / Unou Nouryoku Check Machine (Japan),1999,Sega,0,0,unknown,false,,
tduno2,Touch de Uno! 2 (Japan),2000,Sega,0,0,unknown,false,,
tetgiano,Tetris Giant / Tetris Dekaris (MDA-C0076),2009,Sega,0,0,unknown,true,tetgiant,
tetkiwam,Tetris Kiwamemichi (Japan) (GDL-0020),2004,Success,0,0,unknown,false,,
tokyobus,"Tokyo Bus Guide (Japan, Rev A)",1999,Fortyfive,0,0,unknown,false,,
toukon4,"Shin Nihon Pro Wrestling Toukon Retsuden 4 Arcade Edition (Japan, TRF1 Ver.A)",2000,Namco,0,0,unknown,false,,
toyfight,Toy Fighter,1999,Sega / Anchor Inc.,0,0,unknown,false,,
trgheart,Trigger Heart Exelica Ver.A (Japan) (GDL-0036A),2006,Warashi,0,270,unknown,false,,
trghearto,Trigger Heart Exelica (Japan) (GDL-0036),2006,Warashi,0,270,unknown,true,trgheart,
trizeal,Trizeal (Japan) (GDL-0026),2004,Triangle Service,0,270,unknown,false,,
undefeat,Under Defeat (Japan) (GDL-0035),2005,G.Rev,0,270,unknown,false,,
unomedal,UNO the Medal,2009,Sega,0,0,unknown,false,,
usagiym,Usagi - Yamashiro Mahjong Hen (Japan) (GDL-0022),2003,Warashi / Mahjong Kobo / Taito,0,0,unknown,false,,
vathlete,Virtua Athletics / Virtua Athlete (GDS-0019),2001,Sega,0,0,unknown,false,,
vf4,Virtua Fighter 4 Version C (GDS-0012C),2001,Sega,0,0,unknown,false,,
vf4b,Virtua Fighter 4 (Rev B) (GDS-0012B),2001,Sega,0,0,unknown,true,vf4,
vf4cart,Virtua Fighter 4 (World),2002,Sega,0,0,unknown,false,,
vf4evo,Virtua Fighter 4: Evolution (Version B) (Japan) (GDS-0024C),2002,Sega,0,0,unknown,false,,
vf4evoa,Virtua Fighter 4: Evolution (Japan) (GDS-0024A),2002,Sega,0,0,unknown,true,vf4evo,
vf4evob,Virtua Fighter 4: Evolution (Version B) (Japan) (GDS-0024B),2002,Sega,0,0,unknown,true,vf4evo,
vf4evoct,Virtua Fighter 4: Evolution (World),2002,Sega,0,0,unknown,false,,
vf4o,Virtua Fighter 4 (GDS-0012),2001,Sega,0,0,unknown,true,vf4,
vf4tuned,Virtua Fighter 4: Final Tuned (Ver. B) (GDS-0036F),2004,Sega,0,0,unknown,false,,
vf4tuneda,Virtua Fighter 4: Final Tuned (Rev A) (GDS-0036A),2004,Sega,0,0,unknown,true,vf4tuned,
vf4tunedd,Virtua Fighter 4: Final Tuned (Ver. A) (GDS-0036D),2004,Sega,0,0,unknown,true,vf4tuned,
vfurlong,Net@Select: Horse Racing - Victory Furlong,2005,Progress / Sammy,0,0,unknown,false,,
virnbao,Virtua NBA,2000,Sega,0,0,unknown,true,virnba,
virnbap,Virtua NBA (prototype),1999,Sega,0,0,unknown,true,virnba,
virnbapa,"Virtua NBA (prototype, 15.11)",1999,Sega,0,0,unknown,true,virnba,
vonot,Cyber Troopers Virtual-On: Oratorio Tangram M.S.B.S. ver 5.66 2000 Edition,2000,Sega,0,0,unknown,false,,
vs2_2k,Virtua Striker 2 Ver. 2000 (Rev C),1999,Sega,0,0,unknown,false,,
vs2_2ko,Virtua Striker 2 Ver. 2000,1999,Sega,0,0,unknown,true,vs2_2k,
vstrik3,Virtua Striker 3 (GDS-0006),2001,Sega,0,0,unknown,false,,
vstrik3c,"Virtua Striker 3 (World, Rev B)",2001,Amusement Vision / Sega,0,0,unknown,false,,
vstrik3co,Virtua Striker 3 (World),2001,Amusement Vision / Sega,0,0,unknown,true,vstrik3c,
vtenis2c,Virtua Tennis 2 / Power Smash 2 (Rev A),2001,Sega,0,0,unknown,false,,
vtennis,Virtua Tennis / Power Smash,1999,Sega,0,0,unknown,false,,
vtennis2,Virtua Tennis 2 / Power Smash 2 (Rev A) (GDS-0015A),2001,Sega,0,0,unknown,false,,
vtennisg,Virtua Tennis / Power Smash (GDS-0011),2001,Sega,0,0,unknown,false,,
waidrive,WaiWai Drive,2005,MOSS / Sammy,0,270,unknown,false,,
wccf116,World Club Champion Football Serie A 2001-2002 Ver.2 (Japan) (CDP-10001C),2003,Hitmaker / Sega,0,0,unknown,false,,
wccf1dup,World Club Champion Football Serie A 2001-2002 DIMM FIRM Ver.3.03 (CDP-10003),2002,Hitmaker / Sega,0,0,unknown,false,,
wccf212e,World Club Champion Football Serie A 2002-2003 Ver.2.12 (Italy) (CDV-10002),2004,Hitmaker / Sega,0,0,unknown,false,,
wccf234j,World Club Champion Football Serie A 2002-2003 Ver.2.34 (Japan) (CDV-10008),2004,Hitmaker / Sega,0,0,unknown,false,,
wccf310j,World Club Champion Football European Clubs 2004-2005 (Asia) (CDV-10013),2005,Sega,0,0,unknown,false,,
wccf322e,World Club Champion Football European Clubs 2004-2005 Ver.3.22 (Export) (CDV-10015P),2005,Sega,0,0,unknown,false,,
wccf331e,World Club Champion Football European Clubs 2004-2005 Ver.1.1 (Export) (CDV-10015),2005,Sega,0,0,unknown,true,wccf322e,
wccf331j,World Club Champion Football European Clubs 2004-2005 Ver.1.1 (Japan) (CDV-10020),2005,Sega,0,0,unknown,true,wccf341j,
wccf341j,World Club Champion Football European Clubs 2004-2005 Ver.1.2 (Japan) (CDV-10021),2006,Sega,0,0,unknown,false,,
wccf400j,World Club Champion Football European Clubs 2005-2006 (Japan) (CDV-10025),2006,Sega,0,0,unknown,false,,
wccf420e,World Club Champion Football European Clubs 2005-2006 (Export) (CDV-10027),2006,Sega,0,0,unknown,false,,
westdrmg,Western Dream Gold,2009,Sega,0,0,unknown,false,,
wldkicks,"World Kicks (World, WK2 Ver.A)",2000,Namco,0,0,unknown,false,,
wldkicksj,"World Kicks (Japan, WK1 Ver.A)",2000,Namco,0,0,unknown,true,wldkicks,
wldkickspj,"World Kicks PCB (Japan, WKC1 Ver.A)",2000,Namco,0,0,unknown,true,wldkicks,
wldkickspw,"World Kicks PCB (World, WKC2 Ver.A)",2000,Namco,0,0,unknown,true,wldkicks,
wldkicksu,"World Kicks (US, WK3 Ver.A)",2000,Namco,0,0,unknown,true,wldkicks,
wldrider,Wild Riders,2001,Wow Entertainment / Sega,0,0,unknown,false,,
wrungpo,"Wave Runner GP (USA, Rev A)",2001,CRI / Sega,0,0,unknown,true,wrungp,
wsbbgd,World Series Baseball / Super Major League (GDS-0010),2001,Sega,0,0,unknown,false,,
wwfroyal,WWF Royal Rumble,2000,Sega,0,0,unknown,false,,
xtrmhnt2,Extreme Hunting 2,2006,Sega,0,0,unknown,false,,
xtrmhunt,Extreme Hunting,2004,Sammy,0,0,unknown,false,,
zerogu2,Zero Gunner 2,2001,Psikyo,0,0,unknown,false,,
zombrvn,Zombie Revenge (Rev A),1999,Sega,0,0,unknown,false,,
zombrvne,Zombie Revenge (Export),1999,Sega,0,0,unknown,true,zombrvn,
zombrvno,Zombie Revenge,1999,Sega,0,0,unknown,true,zombrvn,
zunou,"Touch De Zunou (Japan, Rev A)",2006,Sega,0,0,unknown,false,,
